City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Rikitea,100,PF,1594694160,84.0,-23.12,-134.97,72.7,15.21
1,Oranjemund,8,,1594694752,76.0,-28.55,16.43,53.01,7.72
2,Clyde River,1,CA,1594694100,81.0,70.47,-68.59,46.4,5.82
3,Lanigan,70,CA,1594694583,87.0,51.85,-105.03,55.54,12.39
4,Port Alfred,8,ZA,1594694484,49.0,-33.59,26.89,54.57,28.7
5,Amapá,0,BR,1594694498,95.0,1.0,-52.0,70.9,1.23
6,Butaritari,99,KI,1594694170,78.0,3.07,172.79,80.64,9.33
7,La Ronge,75,CA,1594694164,59.0,55.1,-105.28,62.6,10.29
8,Cauayan,100,PH,1594694752,70.0,9.97,122.62,84.92,3.29
9,Albany,34,US,1594694483,65.0,42.6,-73.97,75.99,1.01
10,Anuradhapura,39,LK,1594694753,72.0,8.36,80.42,82.74,13.42
11,Arraial do Cabo,12,BR,1594693978,69.0,-22.97,-42.03,73.24,3.98
12,Okhtyrka,100,UA,1594694753,92.0,50.31,34.9,58.95,11.07
13,New Norfolk,14,AU,1594694753,88.0,-42.78,147.06,48.99,1.63
14,Mae Sai,75,TH,1594694753,83.0,20.43,99.88,80.6,5.82
15,Punta Arenas,98,CL,1594694753,86.0,-53.15,-70.92,33.8,4.79
16,San Juan,0,AR,1594694753,72.0,-31.54,-68.54,39.33,0.22
17,Avarua,100,CK,1594694753,56.0,-21.21,-159.78,71.6,11.41
18,Qaanaaq,1,GL,1594694753,70.0,77.48,-69.36,42.33,3.6
19,Katsuura,75,JP,1594694753,94.0,35.13,140.3,75.99,11.41
20,Ushuaia,40,AR,1594693883,92.0,-54.8,-68.3,32.0,17.22
21,Sisimiut,83,GL,1594694754,86.0,66.94,-53.67,42.44,9.44
22,Kaitangata,71,NZ,1594694754,61.0,-46.28,169.85,51.01,8.01
23,Lugovoy,63,KZ,1594694754,27.0,42.95,72.76,78.84,7.7
24,Coos Bay,1,US,1594694754,77.0,43.37,-124.22,66.99,26.4
25,Chui,0,UY,1594694754,78.0,-33.7,-53.46,36.99,10.02
26,Torbay,75,CA,1594694585,93.0,47.67,-52.73,66.2,12.75
27,Ixtapa,75,MX,1594694360,74.0,20.7,-105.2,86.0,8.05
